Country,Lat,Lon,Capital City,Country_Code,Currency,Image_name,Image_URL,population,country_name
Bosnia and Herzegovina,43.92,18.29,Sarajevo,BIH,Marka,Flag_of_Bosnia_and_Herzegovina.svg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,3301000,Bosnia and Herzegovina
Botswana,-22.077,24.08,Gaborone,BWA,Botswana Pula,Flag_of_Botswana.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2303697,Botswana
Brazil,-7.833,-54.74,Bras,BRA,Brazilian Real,Flag_of_Brazil.svg,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,211049527,Brazil
Brunei Darussalam,4.5,114.6,Bandar Seri Begawan,BRN,Brunei Dollar,Flag_of_Brunei.svg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg,433285,Brunei Darussalam
Bulgaria,42.47,25.36,Sofia,BGR,Bulgarian Lev,Flag_of_Bulgaria.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,6975761,Bulgaria
Burkina Faso,12.3,-1.98,Ouagadougou,BFA,CFA Franc BCEAO,Flag_of_Burkina_Faso.svg,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,20321378,Burkina Faso
Burundi,-3.28,29.83,Bujumbura,BDI,Burundi Franc,Flag_of_Burundi.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,11530580,Burundi
Cambodia,12.78,104.84,Phnom Penh,KHM,Kampuchean Riel,Flag_of_Cambodia.svg,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,16486542,Cambodia
Cameroon,5.77,12.67,Yaound,CMR,CFA Franc BEAC,Flag_of_Cameroon.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,25876380,Cameroon
Canada,60.74,-111.3,Ottawa,CAN,Canadian Dollar,Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,37589262,Canada
Cayman Islands,19.32,-81.26,George Town,CYM,Cayman Islands Dollar,Flag_of_Cape_Verde.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg,64948,Cayman Islands
Central African Republic,6.55,20.3,Bangui,CAF,CFA Franc BEAC,Flag_of_the_Central_African_Republic.svg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,4745185,Central African Republic
Chad,15.17,18.7,N'Djam,TCD,CFA Franc BEAC,Flag_of_Chad.svg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,15946876,Chad
Chile,-26.71,-69.89,Santiago de Chile,CHL,Chilean Peso,Flag_of_Chile.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,18952038,Chile
China,34.82,104.15,Beijing,CHN,Yuan Renminbi,Flag_of_the_People%27s_Republic_of_China.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,1397715000,China
Colombia,3.6,-73.57,Santaf,COL,Colombian Peso,Flag_of_Colombia.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,50339443,Colombia
Comoros,-11.66,43.26,Moroni,COM,Comoros Franc,Flag_of_the_Comoros.svg,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,850886,Comoros
Congo,-0.73,15.53,Brazzaville,COG,CFA Franc BEAC,Flag_of_the_Republic_of_the_Congo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg,5380508,"Congo, Rep."
